series,transform,test,lag,stat,pvalue,nobs,crit_1,crit_5,crit_10,conclusion
Target_Price,level,ADF,0,-0.4661177205914341,0.8984605342383505,2560,-3.4329069801374077,-2.862669671881199,-2.5673713661193847,Fail_to_reject_unit_root
Target_Price,level,ADF,1,-0.3818971318659531,0.913077714037188,2559,-3.4329079803530984,-2.862670113586149,-2.5673716012873826,Fail_to_reject_unit_root
Target_Price,level,ADF,2,-0.4121563539376029,0.9080492304356442,2558,-3.4329089813516065,-2.8626705556366505,-2.56737183663938,Fail_to_reject_unit_root
Target_Price,level,KPSS,0,232.47993992571207,0.01,2561,0.739,0.463,0.347,Reject_stationarity
Target_Price,level,KPSS,1,116.31475414488953,0.01,2561,0.739,0.463,0.347,Reject_stationarity
Target_Price,level,KPSS,2,77.57960286437967,0.01,2561,0.739,0.463,0.347,Reject_stationarity
Target_Price,diff1,ADF,0,-54.71569160787208,0.0,2559,-3.4329079803530984,-2.862670113586149,-2.5673716012873826,Reject_unit_root
Target_Price,diff1,ADF,1,-36.06418303044668,0.0,2558,-3.4329089813516065,-2.8626705556366505,-2.56737183663938,Reject_unit_root
Target_Price,diff1,ADF,2,-31.18690395418453,0.0,2557,-3.432909983133851,-2.862670998033109,-2.5673720721755933,Reject_unit_root
Target_Price,diff1,KPSS,0,0.060960621494199646,0.1,2560,0.739,0.463,0.347,Do_not_reject_stationarity
Target_Price,diff1,KPSS,1,0.06626203228209997,0.1,2560,0.739,0.463,0.347,Do_not_reject_stationarity
Target_Price,diff1,KPSS,2,0.06651266993914765,0.1,2560,0.739,0.463,0.347,Do_not_reject_stationarity
