Date,scope,n_articles,example_urls
2015-02-19,nasdaq_market,2664,http://rapidcityjournal.com/news/national/as-investors-dump-utility-stocks-us-markets-edge-lower/article_a11bb0a8-f7b4-5dc1-96dc-a4d24aa1f4b9.html | http://www.ctpost.com/business/article/Del-Frisco-s-Grille-coming-to-Stamford-6090342.php | https://nz.finance.yahoo.com/news/digimarc-reports-4q-loss-220725623.html
2015-06-27,nasdaq_market,412,http://www.taipeitimes.com/News/biz/archives/2015/06/28/2003621731 | http://seekingalpha.com/article/3287355-a-high-dividend-stock-yielding-9-percent-14-percent-below-book-value-and-major-insider-buying | https://uk.finance.yahoo.com/news/tsipras-addressing-parliament-calls-emphatic-231920635.html
2015-11-02,nasdaq_market,2714,http://www.lepopulaire.fr/france-monde/actualites/economie-politique/eco-finances/2015/11/02/wall-street-entame-novembre-par-une-nette-hausse_11647268.html | http://www.canadianbusiness.com/business-news/business-highlights-637/ | http://www.northwestgeorgianews.com/associated_press/business/markets/us-stocks-climb-building-on-a-big-gain-in-october/article_8bbf3908-81a6-11e5-b2da-576c794ad60b.html
2016-03-09,nasdaq_market,2256,http://www.whig.com/article/20160309/AP/303099622 | http://www.skynews.com.au/business/business/market/2016/03/10/us-stocks-higher-due-to-oil-price-recovery.html | http://prwire.com.au/print/-292
2016-07-15,nasdaq_market,2587,http://www.fuw.ch/newsticker-single/201607151142/aktien-new-york-schluss-mini-plus-reicht-dem-dow-fur-weiteren-rekord/ | http://www.benzinga.com/pressreleases/16/07/b8224867/shareholder-alert-brodsky-smith-llc-announces-an-investigation-of-the-b | http://sfvbj.com/news/2016/jul/15/ceres-narrows-loss/
2016-11-20,nasdaq_market,479,https://www.nbr.co.nz/article/key-crowns-apec-summit-china-free-trade-upgrade-b-196952 | http://www.nasdaq.com/article/south-korea-bourse-may-see-mild-selling-pressure-20161120-00021 | https://www.nbr.co.nz/article/nz-government-considering-%E2%80%98family-package%E2%80%99-rather-tax-cuts-alone-2017-budget-b-196959
2017-03-28,nasdaq_market,2848,http://m.philstar.com/breakingnews/show/0ef7becf5598a6e5afa807cf9de80de7?t=hsjnon188ec9uq5rn9k4a6e2l0 | http://siouxcityjournal.com/business/how-major-us-stock-market-indexes-fared-on-tuesday/article_5e427197-f0f2-5567-b3d6-fea6e8356a71.html | https://www.benzinga.com/pressreleases/17/03/b9227807/dxp-sets-date-for-2016-fourth-quarter-year-end-results-release-and-conf
2017-08-03,nasdaq_market,2095,http://www.vindy.com/news/2017/aug/03/stocks-close-mostly-lower-except-dow/ | http://www.stltoday.com/business/business-highlights/article_7f99d88a-23c3-59a3-8d4f-3c824c23e5ab.html | http://newburghgazette.com/2017/08/04/the-motco-has-10-40-million-stake-in-jp-morgan-chase-co-jpm/
2017-12-11,nasdaq_market,2144,http://www.nasdaq.com/article/these-2-facebook-rivals-are-nearing-breakouts-sp-500-futures-cm890001 | https://www.yahoo.com/news/time-investors-worry-january-effect-183602212.html | https://www.nikkei.com/article/DGXLASFL12H4C_S7A211C1000000/
2018-04-18,nasdaq_market,2249,http://abcnews.go.com/Business/wireStory/business-highlights-54567442 | https://investorplace.com/2018/04/bed-bath-beyond-big-big-big-trouble/ | https://investorplace.com/2018/04/should-you-buy-akamai-stock-3-pros-3-cons/
2018-08-24,nasdaq_market,1520,http://www.tribtown.com/2018/08/24/financial-markets-box-17/ | https://forextv.com/top-news/clearview-reports-first-quarter-results-and-operations-update/ | https://www.mynelsonnow.com/34613/after-the-bell-dow-lifts-on-fed-bank-chairs-comments-materials-push-tsx-higher/
2018-12-30,nasdaq_market,317,https://www.modernreaders.com/news/2018/12/30/critical-survey-taoping-taop-and-determine-dtrm.html | https://www.economiahoy.mx/mercados-eAm-colombia/noticias/9610097/12/18/Los-valores-considerados-refugio-favoritos-de-Wall-Street-para-el-2019.html | https://finreviewer.com/2018/12/30/tuttle-tactical-management-decreased-by-1-62-million-its-moodys-mco-position-brainstorm-cell-therapeutics-bcli-shorts-raised-by-0-53/
2019-05-07,nasdaq_market,2542,https://www.kgw.com/article/news/nation-world/dow-falls-more-than-470-points-as-us-china-trade-tension-grows/283-5ece541e-f680-4f14-a5aa-28c20f7ba6c3 | https://www.ohiostandard.com/news/260905593/wall-street-dives-as-us-trade-talks-with-china-break-down | https://www.investmentexecutive.com/news/research-and-markets/stock-markets-fall-on-rising-concerns-about-trade-war-between-u-s-and-china/
2019-09-12,nasdaq_market,1759,https://finance.yahoo.com/news/skepticism-surrounds-proposed-hong-kong-200753886.html | https://www.theedgemarkets.com/article/wall-street-ends-higher-trade-ecb-stimulus-hopes | https://medicinehatnews.com/business/2019/09/12/tsx-could-break-17000-after-hitting-record-intraday-high-says-analyst/
2020-01-18,nasdaq_market,288,https://finance.sina.com.cn/roll/2020-01-19/doc-iihnzahk5036941.shtml | https://de.investing.com/analysis/der-nasdaq-100-ubertrifft-sich-bald-selbst-wahrend-der-dax-zogert-200436411 | https://www.benzinga.com/top-stories/20/01/15147762/bulls-and-bears-of-the-week-ibm-microsoft-tesla-and-more
2020-05-25,nasdaq_market,466,https://finance.sina.com.cn/roll/2020-05-26/doc-iirczymk3553293.shtml | https://tech.sina.com.cn/roll/2020-05-26/doc-iircuyvi5026566.shtml | https://seekingalpha.com/article/4349941-silvers-silver-lining
2020-09-30,nasdaq_market,988,https://www.malaysiasun.com/news/266558194/us-stocks-rally-amid-economic-data | https://www.irishsun.com/news/266558231/wall-street-finishes-higher-wednesday-but-falls-over-september | https://www.taiwansun.com/news/266558231/wall-street-finishes-higher-wednesday-but-falls-over-september
2021-02-05,nasdaq_market,1442,https://www.reuters.com/article/innovationNews/idUSKBN2A52SM | https://www.wfmz.com/business/s-p-500-climbs-again-closing-out-best-week-since-november/article_7e085abd-7c7c-521c-897e-b8cf749295a0.html | https://www.bruneinews.net/news/267752420/us-stocks-make-decent-gains-amid-diminishing-enthusiasm
2021-06-13,nasdaq_market,98,https://www.globenewswire.com/news-release/2021/06/13/2246184/0/en/Terns-Pharmaceuticals-to-Host-Conference-Call-to-Discuss-Top-line-Results-from-Phase-2a-LIFT-Study-of-TERN-101-for-Treatment-of-NASH.html | https://www.nbcsandiego.com/news/business/money-report/u-s-stock-futures-are-flat-with-the-sp-500-at-a-record-high/2629898/ | https://www.aleqt.com/2021/06/14/article_2112361.html
2021-10-19,nasdaq_market,1364,https://www.haitisun.com/news/271527343/us-stocks-continue-higher-nasdaq-rises-107-points | https://invezz.com/news/2021/10/19/should-you-invest-in-iridium-stock-as-shares-advance-after-q3-results/ | http://global.eastmoney.com/a/202110202146483515.html
2022-02-24,nasdaq_market,2087,https://www.fool.ca/2022/02/24/1-cheap-off-the-radar-canadian-growth-stock-to-check-out-as-markets-correct-further/ | https://www.prnewswire.com/news-releases/renew-power-announces-results-for-the-third-quarter-q3-fy22-and-nine-months-of-fiscal-2022-both-ended-december-31-2021-301490283.html | https://whoradio.iheart.com/content/2022-02-24-markets-send-mixed-signals-after-russia-invades-ukraine/
2022-07-02,nasdaq_market,260,https://www.fxstreet.com/cryptocurrencies/news/first-mover-asia-speculating-on-tokenized-carbon-offsets-wont-help-climate-crisi-btc-falls-under-19k-202207010040 | http://www.habervitrini.com/iste-bitcoindeki-tarihi-dususun-5-sebebi/1073355 | https://streetwisejournal.com/will-the-stock-market-bubble-really-break-by-the-end-of-2022/
2022-11-08,nasdaq_market,1399,https://www.tmcnet.com/usubmit/2022/11/08/9708966.htm | https://www.irishsun.com/news/273060657/nasdaq-edges-up-26-points-as-trump-backed-republicans-eye-victory-in-mid-terms | https://www.valdostadailytimes.com/ap/business/tantech-holdings-announces-1-for-24-common-share-consolidation/article_6f92e0e3-fd4c-51b7-a6b5-d2d4fff64608.html
2023-03-16,nasdaq_market,1144,https://parabolicarc.com/terms-of-use/ | https://www.nbcmiami.com/news/business/money-report/stock-futures-are-flat-after-banks-bolster-deposits-at-first-republic-live-updates/2995299/ | https://life.ru/p/1565789
2023-07-22,nasdaq_market,503,https://www.dailypolitical.com/2023/07/22/invesco-high-yield-select-etf-batshiys-declares-0-15-dividend.html | https://www.modernreaders.com/news/2023/07/22/invesco-real-assets-esg-etf-ivra-to-issue-dividend-of-0-02-on-july-28th.html | https://theenterpriseleader.com/2023/07/22/invesco-sp-smallcap-high-dividend-low-volatility-etf-xshd-to-issue-dividend-of-0-11-on-july-28th.html
2023-11-27,nasdaq_market,1129,https://www.nbcdfw.com/news/business/money-report/stock-futures-are-little-changed-as-investors-assess-pause-in-november-rally-live-updates/3397419/ | https://www.wkrb13.com/2023/11/27/lancaster-colony-nasdaqlanc-stock-price-down-4-4.html | https://www.tickerreport.com/banking-finance/11388637/britvic-plc-otcmktsbtvcy-announces-dividend-of-0-55.html
2024-04-03,nasdaq_market,1699,https://wjtn.com/news-and-closings/national-headlines/9a9ffc2f2bbac100b923bcb41a5c6037 | https://www.marketscreener.com/quote/index/DOW-JONES-INDUSTRIAL-4945/news/U-S-stocks-close-mostly-higher-after-Fed-remarks-46353688/ | https://www.wallstreet-online.de/nachricht/17950882-nasdaq-hearings-panel-grants-mitek-s-request-for-continued-listing-pending-compliance-with-filing-requirement
