Horizon,Challenger,pHLN_vs_RW,pHLN_vs_SARIMAX
1,ARIMA,0.4799,0.1108
1,ARIMAX,0.5988,1.0
1,LSTM,0.861,0.6148
1,LSTM_FULL,0.7522,0.4799
1,LSTM_SENT,0.3003,0.2867
1,RW,,0.5988
1,SARIMAX,0.5988,
5,ARIMA,0.2489,0.6355
5,ARIMAX,0.2862,1.0
5,LSTM,0.4971,0.6283
5,LSTM_FULL,0.1334,0.1365
5,LSTM_SENT,0.0991,0.3582
5,RW,,0.2862
5,SARIMAX,0.2862,
10,ARIMA,0.3151,0.7839
10,ARIMAX,0.1229,1.0
10,LSTM,0.2725,0.6112
10,LSTM_FULL,0.3902,0.4944
10,LSTM_SENT,0.4056,0.2545
10,RW,,0.1229
10,SARIMAX,0.1229,
20,ARIMA,0.2201,0.2694
20,ARIMAX,0.3974,1.0
20,LSTM,0.0832,0.3124
20,LSTM_FULL,0.084,0.8681
20,LSTM_SENT,0.2629,0.9333
20,RW,,0.3974
20,SARIMAX,0.3974,
