Horizon,Model,RMSE,MAE,MDA
1,RW,0.01146,0.00857,0.0
1,ARIMA,0.01154,0.0086,0.5159
1,ARIMAX,0.01172,0.00876,0.5238
1,SARIMAX,0.01172,0.00876,0.5238
1,LSTM,0.01142,0.00847,0.5635
1,LSTM_SENT,0.01145,0.00857,0.5198
1,LSTM_FULL,0.01174,0.00882,0.5119
5,RW,0.02466,0.0196,0.0
5,ARIMA,0.02418,0.01903,0.623
5,ARIMAX,0.02463,0.0194,0.5714
5,SARIMAX,0.02463,0.0194,0.5714
5,LSTM,0.02439,0.01944,0.5159
5,LSTM_SENT,0.02445,0.01938,0.5516
5,LSTM_FULL,0.02472,0.01945,0.5714
10,RW,0.03443,0.02765,0.0
10,ARIMA,0.03329,0.02605,0.6667
10,ARIMAX,0.03377,0.02689,0.6151
10,SARIMAX,0.03377,0.02689,0.6151
10,LSTM,0.03402,0.02698,0.6151
10,LSTM_SENT,0.0346,0.02611,0.6587
10,LSTM_FULL,0.03318,0.02603,0.6587
20,RW,0.04368,0.03559,0.0
20,ARIMA,0.0402,0.03091,0.7302
20,ARIMAX,0.04005,0.0311,0.7302
20,SARIMAX,0.04005,0.0311,0.7302
20,LSTM,0.04131,0.03272,0.7302
20,LSTM_SENT,0.04088,0.03065,0.7262
20,LSTM_FULL,0.04072,0.03243,0.6944
