Horizon,Model,n_obs,RMSE,MAE,MDA
1,RW,74,0.02236,0.01462,0.0
1,ARIMA,74,0.02192,0.01442,0.5676
1,ARIMAX,74,0.02186,0.01455,0.527
1,SARIMAX,74,0.02186,0.01455,0.527
1,LSTM,74,0.02207,0.01467,0.5135
1,LSTM_SENT,74,0.02162,0.01462,0.527
1,LSTM_FULL,74,0.02181,0.01427,0.5405
5,RW,70,0.04087,0.03134,0.0
5,ARIMA,70,0.04153,0.03168,0.4714
5,ARIMAX,70,0.04177,0.03126,0.5143
5,SARIMAX,70,0.04177,0.03126,0.5143
5,LSTM,70,0.04217,0.03204,0.4571
5,LSTM_SENT,70,0.04073,0.03106,0.4714
5,LSTM_FULL,70,0.04236,0.03281,0.4286
10,RW,65,0.05277,0.04026,0.0
10,ARIMA,65,0.05561,0.04186,0.3846
10,ARIMAX,65,0.05693,0.04198,0.3846
10,SARIMAX,65,0.05693,0.04198,0.3846
10,LSTM,65,0.05703,0.04252,0.3846
10,LSTM_SENT,65,0.05636,0.04186,0.3846
10,LSTM_FULL,65,0.05624,0.04185,0.4
20,RW,55,0.07147,0.06072,0.0
20,ARIMA,55,0.0805,0.06787,0.2364
20,ARIMAX,55,0.08686,0.07366,0.2364
20,SARIMAX,55,0.08686,0.07366,0.2364
20,LSTM,55,0.08523,0.07208,0.2364
20,LSTM_SENT,55,0.0874,0.0746,0.2364
20,LSTM_FULL,55,0.0869,0.07373,0.2364
