Horizon,Model,Month,n_obs,RMSE
1,RW,2025-01,20,0.0129
1,RW,2025-02,19,0.01268
1,RW,2025-03,21,0.01661
1,RW,2025-04,14,0.0421
1,ARIMA,2025-01,20,0.01271
1,ARIMA,2025-02,19,0.01246
1,ARIMA,2025-03,21,0.01648
1,ARIMA,2025-04,14,0.04113
1,ARIMAX,2025-01,20,0.0127
1,ARIMAX,2025-02,19,0.01265
1,ARIMAX,2025-03,21,0.01655
1,ARIMAX,2025-04,14,0.04082
1,SARIMAX,2025-01,20,0.0127
1,SARIMAX,2025-02,19,0.01265
1,SARIMAX,2025-03,21,0.01655
1,SARIMAX,2025-04,14,0.04082
1,LSTM,2025-01,20,0.0129
1,LSTM,2025-02,19,0.01275
1,LSTM,2025-03,21,0.01667
1,LSTM,2025-04,14,0.04223
1,LSTM_SENT,2025-01,20,0.01316
1,LSTM_SENT,2025-02,19,0.01368
1,LSTM_SENT,2025-03,21,0.01653
1,LSTM_SENT,2025-04,14,0.04167
1,LSTM_FULL,2025-01,20,0.01272
1,LSTM_FULL,2025-02,19,0.01285
1,LSTM_FULL,2025-03,21,0.01694
1,LSTM_FULL,2025-04,14,0.04054
5,RW,2025-01,20,0.02287
5,RW,2025-02,19,0.03301
5,RW,2025-03,21,0.04525
5,RW,2025-04,10,0.06539
5,ARIMA,2025-01,20,0.02229
5,ARIMA,2025-02,19,0.03479
5,ARIMA,2025-03,21,0.04709
5,ARIMA,2025-04,10,0.06419
5,ARIMAX,2025-01,20,0.02258
5,ARIMAX,2025-02,19,0.03512
5,ARIMAX,2025-03,21,0.0473
5,ARIMAX,2025-04,10,0.06441
5,SARIMAX,2025-01,20,0.02258
5,SARIMAX,2025-02,19,0.03512
5,SARIMAX,2025-03,21,0.0473
5,SARIMAX,2025-04,10,0.06441
5,LSTM,2025-01,20,0.02253
5,LSTM,2025-02,19,0.03659
5,LSTM,2025-03,21,0.04919
5,LSTM,2025-04,10,0.0684
5,LSTM_SENT,2025-01,20,0.02171
5,LSTM_SENT,2025-02,19,0.03369
5,LSTM_SENT,2025-03,21,0.04673
5,LSTM_SENT,2025-04,10,0.06652
5,LSTM_FULL,2025-01,20,0.02208
5,LSTM_FULL,2025-02,19,0.03464
5,LSTM_FULL,2025-03,21,0.04802
5,LSTM_FULL,2025-04,10,0.06865
10,RW,2025-01,20,0.02037
10,RW,2025-02,19,0.06178
10,RW,2025-03,21,0.06593
10,RW,2025-04,5,0.04219
10,ARIMA,2025-01,20,0.01613
10,ARIMA,2025-02,19,0.06689
10,ARIMA,2025-03,21,0.06939
10,ARIMA,2025-04,5,0.04404
10,ARIMAX,2025-01,20,0.01505
10,ARIMAX,2025-02,19,0.06899
10,ARIMAX,2025-03,21,0.07076
10,ARIMAX,2025-04,5,0.04604
10,SARIMAX,2025-01,20,0.01505
10,SARIMAX,2025-02,19,0.06899
10,SARIMAX,2025-03,21,0.07076
10,SARIMAX,2025-04,5,0.04604
10,LSTM,2025-01,20,0.01508
10,LSTM,2025-02,19,0.06882
10,LSTM,2025-03,21,0.07137
10,LSTM,2025-04,5,0.04452
10,LSTM_SENT,2025-01,20,0.01672
10,LSTM_SENT,2025-02,19,0.0689
10,LSTM_SENT,2025-03,21,0.06952
10,LSTM_SENT,2025-04,5,0.04253
10,LSTM_FULL,2025-01,20,0.01592
10,LSTM_FULL,2025-02,19,0.0671
10,LSTM_FULL,2025-03,21,0.06945
10,LSTM_FULL,2025-04,5,0.04734
20,RW,2025-01,20,0.03043
20,RW,2025-02,19,0.09071
20,RW,2025-03,16,0.08143
20,ARIMA,2025-01,20,0.02914
20,ARIMA,2025-02,19,0.10289
20,ARIMA,2025-03,16,0.09296
20,ARIMAX,2025-01,20,0.03168
20,ARIMAX,2025-02,19,0.10869
20,ARIMAX,2025-03,16,0.10321
20,SARIMAX,2025-01,20,0.03168
20,SARIMAX,2025-02,19,0.10869
20,SARIMAX,2025-03,16,0.10321
20,LSTM,2025-01,20,0.02956
20,LSTM,2025-02,19,0.10184
20,LSTM,2025-03,16,0.09767
20,LSTM_SENT,2025-01,20,0.03537
20,LSTM_SENT,2025-02,19,0.10975
20,LSTM_SENT,2025-03,16,0.09537
20,LSTM_FULL,2025-01,20,0.03803
20,LSTM_FULL,2025-02,19,0.11676
20,LSTM_FULL,2025-03,16,0.10153
