Horizon,Model,RMSE,MAE,MDA
1,ARIMA,0.01118,0.00856,0.5145
1,ARIMAX,0.01137,0.00872,0.5149
1,LSTM,0.011,0.00846,0.51896
1,LSTM_FULL,0.01109,0.00851,0.54246
1,LSTM_SENT,0.01103,0.00851,0.54442
1,RW,0.0111,0.00853,0.0
1,SARIMAX,0.01137,0.00872,0.5149
5,ARIMA,0.02276,0.01893,0.62723
5,ARIMAX,0.02332,0.0193,0.57348
5,LSTM,0.0232,0.01946,0.58356
5,LSTM_FULL,0.02283,0.01913,0.58996
5,LSTM_SENT,0.0229,0.01909,0.6117
5,RW,0.02349,0.01953,0.0
5,SARIMAX,0.02332,0.0193,0.57348
10,ARIMA,0.03042,0.02576,0.67285
10,ARIMAX,0.03107,0.0266,0.63237
10,LSTM,0.0306,0.02599,0.66492
10,LSTM_FULL,0.03004,0.02564,0.67285
10,LSTM_SENT,0.03047,0.02586,0.67285
10,RW,0.03226,0.02744,0.0
10,SARIMAX,0.03107,0.0266,0.63237
20,ARIMA,0.03664,0.0308,0.72906
20,ARIMAX,0.03618,0.03089,0.72467
20,LSTM,0.0377,0.03199,0.71318
20,LSTM_FULL,0.03593,0.03031,0.72906
20,LSTM_SENT,0.0363,0.0306,0.72906
20,RW,0.04136,0.03552,0.0
20,SARIMAX,0.03618,0.03089,0.72467
