Horizon,Model,Block,n_obs,RMSE,MAE,MDA
1,ARIMA,1,21,0.00995,0.00746,0.52381
1,ARIMA,2,20,0.01076,0.00822,0.45
1,ARIMA,3,20,0.009,0.00724,0.5
1,ARIMA,4,22,0.01205,0.01026,0.40909
1,ARIMA,5,22,0.00795,0.00581,0.45455
1,ARIMA,6,19,0.00813,0.00649,0.52632
1,ARIMA,7,22,0.01575,0.01202,0.45455
1,ARIMA,8,22,0.0164,0.01279,0.72727
1,ARIMA,9,20,0.01133,0.00808,0.6
1,ARIMA,10,23,0.00931,0.00678,0.65217
1,ARIMA,11,20,0.01084,0.00754,0.4
1,ARIMA,12,21,0.01272,0.01,0.47619
1,ARIMAX,1,21,0.01001,0.00759,0.47619
1,ARIMAX,2,20,0.01097,0.00828,0.5
1,ARIMAX,3,20,0.00901,0.00711,0.55
1,ARIMAX,4,22,0.01206,0.01025,0.5
1,ARIMAX,5,22,0.00799,0.00578,0.40909
1,ARIMAX,6,19,0.00839,0.00661,0.47368
1,ARIMAX,7,22,0.01574,0.01216,0.5
1,ARIMAX,8,22,0.01652,0.01275,0.45455
1,ARIMAX,9,20,0.01137,0.00832,0.6
1,ARIMAX,10,23,0.00926,0.0066,0.73913
1,ARIMAX,11,20,0.01136,0.00795,0.5
1,ARIMAX,12,21,0.01371,0.01122,0.47619
1,LSTM,1,21,0.00975,0.00751,0.47619
1,LSTM,2,20,0.01075,0.00829,0.2
1,LSTM,3,20,0.00896,0.00716,0.6
1,LSTM,4,22,0.01223,0.0102,0.54545
1,LSTM,5,22,0.00767,0.00596,0.59091
1,LSTM,6,19,0.00772,0.006,0.68421
1,LSTM,7,22,0.01607,0.0123,0.40909
1,LSTM,8,22,0.01624,0.01262,0.59091
1,LSTM,9,20,0.01125,0.00803,0.45
1,LSTM,10,23,0.00949,0.00685,0.65217
1,LSTM,11,20,0.00978,0.00692,0.6
1,LSTM,12,21,0.01212,0.00965,0.42857
1,LSTM_FULL,1,21,0.00944,0.00749,0.52381
1,LSTM_FULL,2,20,0.01067,0.00808,0.4
1,LSTM_FULL,3,20,0.00914,0.00723,0.5
1,LSTM_FULL,4,22,0.01173,0.00991,0.59091
1,LSTM_FULL,5,22,0.00747,0.00574,0.59091
1,LSTM_FULL,6,19,0.00758,0.00573,0.68421
1,LSTM_FULL,7,22,0.01586,0.0118,0.68182
1,LSTM_FULL,8,22,0.01647,0.01315,0.36364
1,LSTM_FULL,9,20,0.01088,0.00779,0.6
1,LSTM_FULL,10,23,0.01057,0.00782,0.69565
1,LSTM_FULL,11,20,0.01087,0.00763,0.45
1,LSTM_FULL,12,21,0.01241,0.00971,0.42857
1,LSTM_SENT,1,21,0.00998,0.00762,0.57143
1,LSTM_SENT,2,20,0.01045,0.00819,0.5
1,LSTM_SENT,3,20,0.00877,0.00701,0.7
1,LSTM_SENT,4,22,0.01167,0.00987,0.59091
1,LSTM_SENT,5,22,0.00723,0.00533,0.63636
1,LSTM_SENT,6,19,0.00768,0.00583,0.68421
1,LSTM_SENT,7,22,0.01611,0.01229,0.5
1,LSTM_SENT,8,22,0.01641,0.01305,0.45455
1,LSTM_SENT,9,20,0.01185,0.00873,0.25
1,LSTM_SENT,10,23,0.00968,0.00718,0.52174
1,LSTM_SENT,11,20,0.01034,0.00735,0.6
1,LSTM_SENT,12,21,0.01219,0.0097,0.52381
1,RW,1,21,0.00978,0.00736,0.0
1,RW,2,20,0.01072,0.00813,0.0
1,RW,3,20,0.00898,0.00725,0.0
1,RW,4,22,0.01189,0.0101,0.0
1,RW,5,22,0.00774,0.00559,0.0
1,RW,6,19,0.00819,0.0064,0.0
1,RW,7,22,0.0158,0.01206,0.0
1,RW,8,22,0.01644,0.01295,0.0
1,RW,9,20,0.01137,0.00817,0.0
1,RW,10,23,0.00948,0.00715,0.0
1,RW,11,20,0.01053,0.00752,0.0
1,RW,12,21,0.01227,0.00966,0.0
1,SARIMAX,1,21,0.01001,0.00759,0.47619
1,SARIMAX,2,20,0.01097,0.00828,0.5
1,SARIMAX,3,20,0.00901,0.00711,0.55
1,SARIMAX,4,22,0.01206,0.01025,0.5
1,SARIMAX,5,22,0.00799,0.00578,0.40909
1,SARIMAX,6,19,0.00839,0.00661,0.47368
1,SARIMAX,7,22,0.01574,0.01216,0.5
1,SARIMAX,8,22,0.01652,0.01275,0.45455
1,SARIMAX,9,20,0.01137,0.00832,0.6
1,SARIMAX,10,23,0.00926,0.0066,0.73913
