Variant,Seed,RMSE,DM_Stat,p_value
LSTM,42,0.04131,2.2459,0.0256
LSTM,123,0.03991,1.8059,0.0721
LSTM,7,0.03988,1.5022,0.1343
LSTM,2024,0.04113,1.9338,0.0543
LSTM,31,0.04071,1.6124,0.1081
LSTM,99,0.04088,2.1922,0.0293
LSTM,555,0.04138,2.0833,0.0382
LSTM,1000,0.04098,2.3719,0.0185
LSTM,8,0.04078,1.7672,0.0784
LSTM,77,0.04128,2.6656,0.0082
LSTM,ENSEMBLE,0.04073,1.9881,0.0479
LSTM_SENT,42,0.04088,0.7696,0.4423
LSTM_SENT,123,0.04037,1.0874,0.2779
LSTM_SENT,7,0.04036,1.1141,0.2663
LSTM_SENT,2024,0.04078,1.0175,0.3099
LSTM_SENT,31,0.03994,1.087,0.2781
LSTM_SENT,99,0.04382,-0.7903,0.4301
LSTM_SENT,555,0.0401,1.3457,0.1796
LSTM_SENT,1000,0.04077,1.4695,0.1429
LSTM_SENT,8,0.0416,1.4398,0.1512
LSTM_SENT,77,0.04102,1.9102,0.0572
LSTM_SENT,ENSEMBLE,0.04056,1.3338,0.1835
LSTM_FULL,42,0.04072,1.5728,0.117
LSTM_FULL,123,0.03976,0.9766,0.3297
LSTM_FULL,7,0.03994,1.4159,0.158
LSTM_FULL,2024,0.04159,2.5769,0.0105
LSTM_FULL,31,0.0406,1.4762,0.1411
LSTM_FULL,99,0.03982,1.4869,0.1383
LSTM_FULL,555,0.03981,1.1847,0.2373
LSTM_FULL,1000,0.03989,1.056,0.292
LSTM_FULL,8,0.03946,1.2867,0.1994
LSTM_FULL,77,0.04068,0.6595,0.5102
LSTM_FULL,ENSEMBLE,0.03981,1.3512,0.1778
