Variant,Horizon,Seed,RMSE,MAE,MDA
LSTM,1,42,0.01147,0.00868,0.48016
LSTM,1,123,0.01143,0.00852,0.54762
LSTM,1,7,0.01145,0.00859,0.52381
LSTM,1,2024,0.01141,0.00854,0.54365
LSTM,1,31,0.01143,0.00847,0.55952
LSTM,1,99,0.01141,0.00844,0.55159
LSTM,1,555,0.01145,0.00858,0.48016
LSTM,1,1000,0.01144,0.00864,0.50397
LSTM,1,8,0.01142,0.00851,0.53175
LSTM,1,77,0.01142,0.00847,0.56349
LSTM,5,42,0.02473,0.01971,0.47222
LSTM,5,123,0.02411,0.01899,0.62302
LSTM,5,7,0.02431,0.01911,0.61905
LSTM,5,2024,0.02438,0.01923,0.60714
LSTM,5,31,0.02427,0.01912,0.59524
LSTM,5,99,0.02475,0.01972,0.4127
LSTM,5,555,0.02465,0.01961,0.5119
LSTM,5,1000,0.02476,0.01971,0.47619
LSTM,5,8,0.02455,0.01946,0.5754
LSTM,5,77,0.02447,0.01937,0.5873
LSTM,10,42,0.03398,0.02694,0.65476
LSTM,10,123,0.03383,0.02677,0.6627
LSTM,10,7,0.03372,0.02673,0.66667
LSTM,10,2024,0.0335,0.02644,0.66667
LSTM,10,31,0.03354,0.02659,0.67063
LSTM,10,99,0.03355,0.02653,0.67063
LSTM,10,555,0.03357,0.02661,0.66667
LSTM,10,1000,0.03418,0.02729,0.61111
LSTM,10,8,0.0336,0.02657,0.66667
LSTM,10,77,0.03342,0.02627,0.66667
LSTM,20,42,0.04231,0.03392,0.70238
LSTM,20,123,0.04,0.03126,0.73016
LSTM,20,7,0.03941,0.03003,0.73016
LSTM,20,2024,0.04183,0.0338,0.69048
LSTM,20,31,0.03995,0.03133,0.73016
LSTM,20,99,0.04161,0.03287,0.73016
LSTM,20,555,0.04218,0.03419,0.67857
LSTM,20,1000,0.03983,0.03022,0.73016
LSTM,20,8,0.03996,0.03077,0.73016
LSTM,20,77,0.04139,0.03293,0.73016
LSTM_SENT,1,42,0.01189,0.00884,0.54762
LSTM_SENT,1,123,0.01145,0.00871,0.4881
LSTM_SENT,1,7,0.01159,0.00858,0.54365
LSTM_SENT,1,2024,0.01154,0.0086,0.53175
LSTM_SENT,1,31,0.0116,0.00877,0.47619
LSTM_SENT,1,99,0.01148,0.00851,0.55952
LSTM_SENT,1,555,0.01133,0.00851,0.54762
LSTM_SENT,1,1000,0.01141,0.00847,0.55556
LSTM_SENT,1,8,0.01143,0.00861,0.52381
LSTM_SENT,1,77,0.01157,0.00856,0.59127
LSTM_SENT,5,42,0.0247,0.01935,0.60714
LSTM_SENT,5,123,0.0245,0.01914,0.61508
LSTM_SENT,5,7,0.02486,0.01991,0.46032
LSTM_SENT,5,2024,0.02483,0.01927,0.60317
LSTM_SENT,5,31,0.02473,0.01945,0.58333
LSTM_SENT,5,99,0.02448,0.01914,0.60317
LSTM_SENT,5,555,0.02452,0.01939,0.57143
LSTM_SENT,5,1000,0.02447,0.01923,0.5754
LSTM_SENT,5,8,0.02466,0.01928,0.61111
LSTM_SENT,5,77,0.02523,0.02038,0.48016
LSTM_SENT,10,42,0.03372,0.02661,0.65873
LSTM_SENT,10,123,0.03345,0.02568,0.6627
LSTM_SENT,10,7,0.03424,0.02722,0.63889
LSTM_SENT,10,2024,0.03378,0.02564,0.65476
LSTM_SENT,10,31,0.03411,0.02572,0.64683
LSTM_SENT,10,99,0.0336,0.02642,0.66667
LSTM_SENT,10,555,0.03384,0.02604,0.65476
LSTM_SENT,10,1000,0.03409,0.02577,0.65476
LSTM_SENT,10,8,0.03391,0.02608,0.65079
LSTM_SENT,10,77,0.03387,0.02674,0.65079
LSTM_SENT,20,42,0.04059,0.03099,0.73016
LSTM_SENT,20,123,0.04075,0.03212,0.72619
LSTM_SENT,20,7,0.04007,0.03017,0.73016
LSTM_SENT,20,2024,0.04072,0.03077,0.73016
LSTM_SENT,20,31,0.04169,0.03265,0.69444
LSTM_SENT,20,99,0.04166,0.03296,0.73016
LSTM_SENT,20,555,0.04052,0.03108,0.73016
LSTM_SENT,20,1000,0.04006,0.03085,0.71825
LSTM_SENT,20,8,0.0417,0.03307,0.73016
LSTM_SENT,20,77,0.0401,0.03108,0.71429
LSTM_FULL,1,42,0.01147,0.00861,0.53968
LSTM_FULL,1,123,0.01181,0.00878,0.55952
LSTM_FULL,1,7,0.01156,0.0088,0.55556
LSTM_FULL,1,2024,0.01307,0.01039,0.44048
LSTM_FULL,1,31,0.0115,0.00874,0.48016
LSTM_FULL,1,99,0.01166,0.00906,0.45238
LSTM_FULL,1,555,0.01143,0.00867,0.53968
LSTM_FULL,1,1000,0.01155,0.00874,0.5119
LSTM_FULL,1,8,0.01141,0.00863,0.55556
LSTM_FULL,1,77,0.01146,0.00858,0.52381
LSTM_FULL,5,42,0.02476,0.01954,0.5119
LSTM_FULL,5,123,0.02485,0.01915,0.59524
LSTM_FULL,5,7,0.02528,0.02032,0.50397
LSTM_FULL,5,2024,0.02501,0.02009,0.47619
LSTM_FULL,5,31,0.02511,0.01992,0.5
LSTM_FULL,5,99,0.02451,0.0192,0.56349
LSTM_FULL,5,555,0.02452,0.01913,0.59127
LSTM_FULL,5,1000,0.02509,0.01983,0.49603
LSTM_FULL,5,8,0.02435,0.01914,0.59127
LSTM_FULL,5,77,0.02533,0.0204,0.42857
LSTM_FULL,10,42,0.03302,0.02593,0.66667
LSTM_FULL,10,123,0.03291,0.02582,0.67857
LSTM_FULL,10,7,0.03351,0.02648,0.65079
LSTM_FULL,10,2024,0.03356,0.02619,0.66667
LSTM_FULL,10,31,0.03299,0.02582,0.65476
LSTM_FULL,10,99,0.0333,0.02607,0.68651
LSTM_FULL,10,555,0.0334,0.02617,0.65079
LSTM_FULL,10,1000,0.03373,0.0266,0.66667
LSTM_FULL,10,8,0.03335,0.02607,0.6627
LSTM_FULL,10,77,0.03396,0.02582,0.65079
LSTM_FULL,20,42,0.03983,0.03024,0.73016
LSTM_FULL,20,123,0.04002,0.03044,0.73413
LSTM_FULL,20,7,0.0396,0.03082,0.73016
LSTM_FULL,20,2024,0.04019,0.03093,0.72619
LSTM_FULL,20,31,0.04076,0.03043,0.73016
LSTM_FULL,20,99,0.04056,0.03203,0.70635
LSTM_FULL,20,555,0.04009,0.03097,0.73016
LSTM_FULL,20,1000,0.03963,0.02997,0.73016
LSTM_FULL,20,8,0.04068,0.03247,0.69841
LSTM_FULL,20,77,0.04193,0.0311,0.73016
