Variant,Horizon,RMSE_mean,RMSE_std,RMSE_min,RMSE_max,MAE_mean,MAE_std,MAE_min,MAE_max,MDA_mean,MDA_std,MDA_min,MDA_max
LSTM,1,0.0109,5e-05,0.01085,0.01101,0.00808,0.00011,0.00796,0.00831,0.53929,0.05958,0.4246,0.59127
LSTM,5,0.0243,0.00013,0.02414,0.02451,0.01906,0.0002,0.01883,0.0194,0.61111,0.04359,0.53175,0.65476
LSTM,10,0.03378,0.0002,0.03348,0.03411,0.02655,0.00028,0.02607,0.02698,0.69722,0.00192,0.69444,0.69841
LSTM,20,0.04184,0.0009,0.04042,0.04381,0.03352,0.00115,0.03168,0.03603,0.79405,0.00886,0.76984,0.79762
LSTM_FULL,1,0.01096,0.0001,0.01079,0.01112,0.00811,0.00012,0.00791,0.00833,0.5627,0.03782,0.47222,0.60317
LSTM_FULL,5,0.02423,0.00037,0.02373,0.02484,0.01898,0.00039,0.01845,0.01973,0.60317,0.05204,0.50794,0.65476
LSTM_FULL,10,0.0343,0.00041,0.03342,0.03486,0.0272,0.00046,0.02616,0.02782,0.61706,0.03358,0.57143,0.65873
LSTM_FULL,20,0.042,0.00145,0.04019,0.04416,0.0338,0.00179,0.03131,0.03639,0.76746,0.047,0.64683,0.80159
LSTM_SENT,1,0.01104,9e-05,0.01087,0.01114,0.00826,0.00013,0.00801,0.00844,0.50833,0.05213,0.4246,0.5873
LSTM_SENT,5,0.02461,0.00035,0.02408,0.02507,0.01936,0.00037,0.01875,0.01982,0.56905,0.06079,0.46429,0.65079
LSTM_SENT,10,0.03412,0.00034,0.03359,0.03467,0.02682,0.0004,0.02618,0.02743,0.66429,0.03236,0.59524,0.70238
LSTM_SENT,20,0.04257,0.00201,0.03977,0.04627,0.03436,0.00256,0.03066,0.03876,0.70952,0.12275,0.40873,0.80159
