Horizon,Model,Alpha,Beta,R2,p_Alpha,p_Beta1
1,RW,7.6604,0.9844,0.9753,0.0988,0.1245
1,ARIMA,7.4979,0.9841,0.9748,0.1139,0.1264
1,ARIMAX,7.5892,0.9843,0.9754,0.1058,0.1266
1,SARIMAX,7.5892,0.9843,0.9754,0.1058,0.1266
1,LSTM,6.9075,0.9863,0.9753,0.1325,0.1734
1,LSTM_SENT,5.7358,0.9891,0.975,0.223,0.2908
1,LSTM_FULL,8.0153,0.983,0.9751,0.0818,0.0917
5,RW,35.8269,0.9277,0.8882,0.0053,0.0107
5,ARIMA,35.7733,0.9248,0.8884,0.0057,0.0081
5,ARIMAX,35.819,0.926,0.8885,0.0064,0.0104
5,SARIMAX,35.819,0.926,0.8885,0.0064,0.0104
5,LSTM,34.3235,0.9301,0.8879,0.008,0.0144
5,LSTM_SENT,34.2552,0.9287,0.8897,0.0077,0.0116
5,LSTM_FULL,34.0242,0.9326,0.886,0.0085,0.018
10,RW,68.5901,0.8613,0.7919,0.0057,0.0117
10,ARIMA,68.8814,0.8551,0.7917,0.0057,0.0083
10,ARIMAX,68.6873,0.8579,0.7933,0.0056,0.0094
10,SARIMAX,68.6873,0.8579,0.7933,0.0056,0.0094
10,LSTM,70.0739,0.8546,0.7904,0.0047,0.0079
10,LSTM_SENT,67.4228,0.8613,0.7878,0.0068,0.0117
10,LSTM_FULL,65.5622,0.8658,0.7894,0.0096,0.0167
20,RW,90.8206,0.8222,0.7109,0.024,0.0462
20,ARIMA,91.6331,0.8099,0.7104,0.0232,0.0314
20,ARIMAX,97.502,0.8018,0.6989,0.0121,0.0199
20,SARIMAX,97.502,0.8018,0.6989,0.0121,0.0199
20,LSTM,90.5294,0.8171,0.7124,0.0241,0.0384
20,LSTM_SENT,90.0178,0.8193,0.6998,0.0265,0.0432
20,LSTM_FULL,90.2194,0.8199,0.7095,0.0244,0.0416
