model,h,regime,n_obs,rmse_ret,mda
RW,1,Q1,64,0.007778,0.0
RW,1,Q2,62,0.010263,0.0
RW,1,Q3,63,0.013627,0.0
RW,1,Q4,63,0.012734,0.0
ARIMA,1,Q1,64,0.007794,0.5469
ARIMA,1,Q2,62,0.010389,0.4677
ARIMA,1,Q3,63,0.013806,0.4762
ARIMA,1,Q4,63,0.012677,0.6032
ARIMAX,1,Q1,64,0.00773,0.4844
ARIMAX,1,Q2,62,0.010369,0.5161
ARIMAX,1,Q3,63,0.013664,0.5397
ARIMAX,1,Q4,63,0.012443,0.5873
SARIMAX,1,Q1,64,0.00773,0.4844
SARIMAX,1,Q2,62,0.010369,0.5161
SARIMAX,1,Q3,63,0.013664,0.5397
SARIMAX,1,Q4,63,0.012443,0.5873
LSTM,1,Q1,64,0.007956,0.375
LSTM,1,Q2,62,0.010217,0.5968
LSTM,1,Q3,63,0.013616,0.4603
LSTM,1,Q4,63,0.012703,0.5397
LSTM_SENT,1,Q1,64,0.008171,0.4531
LSTM_SENT,1,Q2,62,0.010363,0.5161
LSTM_SENT,1,Q3,63,0.013651,0.5238
LSTM_SENT,1,Q4,63,0.012765,0.4444
LSTM_FULL,1,Q1,64,0.007724,0.5938
LSTM_FULL,1,Q2,62,0.010235,0.5323
LSTM_FULL,1,Q3,63,0.013727,0.4921
LSTM_FULL,1,Q4,63,0.012765,0.5238
RW,5,Q1,64,0.020948,0.0
RW,5,Q2,62,0.020718,0.0
RW,5,Q3,63,0.027007,0.0
RW,5,Q4,63,0.029085,0.0
ARIMA,5,Q1,64,0.020314,0.5938
ARIMA,5,Q2,62,0.019559,0.7742
ARIMA,5,Q3,63,0.02832,0.3968
ARIMA,5,Q4,63,0.027376,0.7302
ARIMAX,5,Q1,64,0.020588,0.5625
ARIMAX,5,Q2,62,0.020415,0.5645
ARIMAX,5,Q3,63,0.027569,0.4921
ARIMAX,5,Q4,63,0.027814,0.6984
SARIMAX,5,Q1,64,0.020588,0.5625
SARIMAX,5,Q2,62,0.020415,0.5645
SARIMAX,5,Q3,63,0.027569,0.4921
SARIMAX,5,Q4,63,0.027814,0.6984
LSTM,5,Q1,64,0.021001,0.5
LSTM,5,Q2,62,0.020361,0.6452
LSTM,5,Q3,63,0.027589,0.4921
LSTM,5,Q4,63,0.02803,0.6032
LSTM_SENT,5,Q1,64,0.020283,0.5469
LSTM_SENT,5,Q2,62,0.019775,0.7581
LSTM_SENT,5,Q3,63,0.02755,0.4603
LSTM_SENT,5,Q4,63,0.027546,0.7302
LSTM_FULL,5,Q1,64,0.021429,0.4062
LSTM_FULL,5,Q2,62,0.021075,0.4355
LSTM_FULL,5,Q3,63,0.026689,0.5397
LSTM_FULL,5,Q4,63,0.03009,0.3651
RW,10,Q1,64,0.033236,0.0
RW,10,Q2,62,0.030091,0.0
RW,10,Q3,63,0.035856,0.0
RW,10,Q4,63,0.038492,0.0
ARIMA,10,Q1,64,0.032518,0.6875
ARIMA,10,Q2,62,0.027848,0.7419
ARIMA,10,Q3,63,0.037334,0.5238
ARIMA,10,Q4,63,0.034979,0.746
ARIMAX,10,Q1,64,0.032759,0.625
ARIMAX,10,Q2,62,0.029504,0.629
ARIMAX,10,Q3,63,0.035707,0.4921
ARIMAX,10,Q4,63,0.035973,0.6667
SARIMAX,10,Q1,64,0.032759,0.625
SARIMAX,10,Q2,62,0.029504,0.629
SARIMAX,10,Q3,63,0.035707,0.4921
SARIMAX,10,Q4,63,0.035973,0.6667
LSTM,10,Q1,64,0.032642,0.6875
LSTM,10,Q2,62,0.028817,0.7419
LSTM,10,Q3,63,0.036686,0.5238
LSTM,10,Q4,63,0.036521,0.746
LSTM_SENT,10,Q1,64,0.032816,0.6562
LSTM_SENT,10,Q2,62,0.029051,0.7097
LSTM_SENT,10,Q3,63,0.036073,0.5238
LSTM_SENT,10,Q4,63,0.037562,0.5556
LSTM_FULL,10,Q1,64,0.032894,0.5469
LSTM_FULL,10,Q2,62,0.028545,0.6774
LSTM_FULL,10,Q3,63,0.035945,0.6032
LSTM_FULL,10,Q4,63,0.03771,0.6032
RW,20,Q1,64,0.058696,0.0
RW,20,Q2,62,0.038204,0.0
RW,20,Q3,63,0.033565,0.0
RW,20,Q4,63,0.04083,0.0
ARIMA,20,Q1,64,0.059511,0.5781
ARIMA,20,Q2,62,0.035332,0.6452
ARIMA,20,Q3,63,0.027117,0.7619
ARIMA,20,Q4,63,0.030667,0.9841
ARIMAX,20,Q1,64,0.061261,0.5
ARIMAX,20,Q2,62,0.038614,0.5806
ARIMAX,20,Q3,63,0.029475,0.6984
ARIMAX,20,Q4,63,0.032768,0.8571
SARIMAX,20,Q1,64,0.061261,0.5
SARIMAX,20,Q2,62,0.038614,0.5806
SARIMAX,20,Q3,63,0.029475,0.6984
SARIMAX,20,Q4,63,0.032768,0.8571
LSTM,20,Q1,64,0.058623,0.5781
LSTM,20,Q2,62,0.036097,0.6452
LSTM,20,Q3,63,0.029659,0.7619
LSTM,20,Q4,63,0.034714,0.9841
LSTM_SENT,20,Q1,64,0.059739,0.5312
LSTM_SENT,20,Q2,62,0.036966,0.5968
LSTM_SENT,20,Q3,63,0.029995,0.746
LSTM_SENT,20,Q4,63,0.036492,0.8889
LSTM_FULL,20,Q1,64,0.058957,0.5
LSTM_FULL,20,Q2,62,0.036993,0.5645
LSTM_FULL,20,Q3,63,0.030212,0.7778
LSTM_FULL,20,Q4,63,0.037075,0.9365
