Horizon,Challenger,Benchmark,DM_Stat,p_value,DM_HLN,p_HLN,Significant
1,ARIMA,RW,0.8673,0.3858,0.8614,0.3918,NO
1,ARIMAX,RW,0.7742,0.4388,0.769,0.4444,NO
1,SARIMAX,RW,0.7742,0.4388,0.769,0.4444,NO
1,LSTM,RW,0.5371,0.5912,0.5335,0.5953,NO
1,LSTM_SENT,RW,0.8898,0.3736,0.8838,0.3797,NO
1,LSTM_FULL,RW,0.9393,0.3476,0.933,0.3539,NO
1,RW,SARIMAX,-0.7742,0.4388,-0.769,0.4444,NO
1,ARIMA,SARIMAX,-0.3689,0.7122,-0.3664,0.7152,NO
1,ARIMAX,SARIMAX,0.0,1.0,0.0,1.0,NO
1,LSTM,SARIMAX,-0.4451,0.6563,-0.442,0.6598,NO
1,LSTM_SENT,SARIMAX,0.3618,0.7175,0.3593,0.7204,NO
1,LSTM_FULL,SARIMAX,0.0926,0.9262,0.092,0.927,NO
5,ARIMA,RW,-0.8558,0.3921,-0.8007,0.426,NO
5,ARIMAX,RW,-1.0582,0.2899,-0.9902,0.3255,NO
5,SARIMAX,RW,-1.0582,0.2899,-0.9902,0.3255,NO
5,LSTM,RW,-1.4041,0.1603,-1.3138,0.1933,NO
5,LSTM_SENT,RW,0.1071,0.9147,0.1002,0.9205,NO
5,LSTM_FULL,RW,-0.8831,0.3772,-0.8263,0.4115,NO
5,RW,SARIMAX,1.0582,0.2899,0.9902,0.3255,NO
5,ARIMA,SARIMAX,0.7889,0.4302,0.7382,0.4629,NO
5,ARIMAX,SARIMAX,0.0,1.0,0.0,1.0,NO
5,LSTM,SARIMAX,-0.9679,0.3331,-0.9056,0.3683,NO
5,LSTM_SENT,SARIMAX,0.9707,0.3317,0.9082,0.3669,NO
5,LSTM_FULL,SARIMAX,-0.4377,0.6616,-0.4096,0.6834,NO
10,ARIMA,RW,-1.7677,0.0771,-1.5093,0.1362,NO
10,ARIMAX,RW,-1.8872,0.0591,-1.6113,0.112,NO
10,SARIMAX,RW,-1.8872,0.0591,-1.6113,0.112,NO
10,LSTM,RW,-1.8095,0.0704,-1.545,0.1273,NO
10,LSTM_SENT,RW,-1.817,0.0692,-1.5513,0.1258,NO
10,LSTM_FULL,RW,-1.9305,0.0535,-1.6483,0.1042,NO
10,RW,SARIMAX,1.8872,0.0591,1.6113,0.112,NO
10,ARIMA,SARIMAX,1.978,0.0479,1.6888,0.0961,NO
10,ARIMAX,SARIMAX,0.0,1.0,0.0,1.0,NO
10,LSTM,SARIMAX,-0.2099,0.8338,-0.1792,0.8584,NO
10,LSTM_SENT,SARIMAX,1.2633,0.2065,1.0787,0.2848,NO
10,LSTM_FULL,SARIMAX,0.6583,0.5104,0.562,0.5761,NO
20,ARIMA,RW,-2.4299,0.0151,-1.5682,0.1227,NO
20,ARIMAX,RW,-2.6957,0.007,-1.7398,0.0876,NO
20,SARIMAX,RW,-2.6957,0.007,-1.7398,0.0876,NO
20,LSTM,RW,-2.515,0.0119,-1.6231,0.1104,NO
20,LSTM_SENT,RW,-2.8632,0.0042,-1.8479,0.0701,NO
20,LSTM_FULL,RW,-2.6948,0.007,-1.7392,0.0877,NO
20,RW,SARIMAX,2.6957,0.007,1.7398,0.0876,NO
20,ARIMA,SARIMAX,2.8971,0.0038,1.8698,0.0669,NO
20,ARIMAX,SARIMAX,0.0,1.0,0.0,1.0,NO
20,LSTM,SARIMAX,3.7779,0.0002,2.4382,0.0181,YES
20,LSTM_SENT,SARIMAX,-0.2145,0.8301,-0.1385,0.8904,NO
20,LSTM_FULL,SARIMAX,-0.0433,0.9655,-0.0279,0.9778,NO
