Horizon,Challenger,Benchmark,DM_Stat,p_value,DM_HLN,p_HLN,Significant
1,RW,SARIMAX,-0.5278,0.5976,-0.5268,0.5988,NO
1,ARIMA,RW,-0.7089,0.4784,-0.7075,0.4799,NO
1,ARIMA,SARIMAX,-1.6035,0.1088,-1.6003,0.1108,NO
1,ARIMAX,RW,0.5278,0.5976,0.5268,0.5988,NO
1,ARIMAX,SARIMAX,0.0,1.0,0.0,1.0,NO
1,SARIMAX,RW,0.5278,0.5976,0.5268,0.5988,NO
1,LSTM,RW,-0.1756,0.8606,-0.1753,0.861,NO
1,LSTM,SARIMAX,-0.5048,0.6137,-0.5038,0.6148,NO
1,LSTM_SENT,RW,-1.0401,0.2983,-1.038,0.3003,NO
1,LSTM_SENT,SARIMAX,-1.0698,0.2847,-1.0677,0.2867,NO
1,LSTM_FULL,RW,-0.3167,0.7514,-0.3161,0.7522,NO
1,LSTM_FULL,SARIMAX,-0.709,0.4783,-0.7076,0.4799,NO
5,RW,SARIMAX,-1.0882,0.2765,-1.0687,0.2862,NO
5,ARIMA,RW,1.1768,0.2393,1.1558,0.2489,NO
5,ARIMA,SARIMAX,0.4832,0.629,0.4746,0.6355,NO
5,ARIMAX,RW,1.0882,0.2765,1.0687,0.2862,NO
5,ARIMAX,SARIMAX,0.0,1.0,0.0,1.0,NO
5,SARIMAX,RW,1.0882,0.2765,1.0687,0.2862,NO
5,LSTM,RW,0.6925,0.4886,0.6801,0.4971,NO
5,LSTM,SARIMAX,-0.4935,0.6217,-0.4847,0.6283,NO
5,LSTM_SENT,RW,1.6854,0.0919,1.6553,0.0991,NO
5,LSTM_SENT,SARIMAX,0.9373,0.3486,0.9205,0.3582,NO
5,LSTM_FULL,RW,-1.5331,0.1253,-1.5057,0.1334,NO
5,LSTM_FULL,SARIMAX,-1.521,0.1283,-1.4938,0.1365,NO
10,RW,SARIMAX,-1.6086,0.1077,-1.548,0.1229,NO
10,ARIMA,RW,1.046,0.2956,1.0065,0.3151,NO
10,ARIMA,SARIMAX,0.2853,0.7754,0.2745,0.7839,NO
10,ARIMAX,RW,1.6086,0.1077,1.548,0.1229,NO
10,ARIMAX,SARIMAX,0.0,1.0,0.0,1.0,NO
10,SARIMAX,RW,1.6086,0.1077,1.548,0.1229,NO
10,LSTM,RW,1.1429,0.2531,1.0998,0.2725,NO
10,LSTM,SARIMAX,-0.5289,0.5969,-0.509,0.6112,NO
10,LSTM_SENT,RW,0.8658,0.3866,0.8331,0.4056,NO
10,LSTM_SENT,SARIMAX,-1.1867,0.2353,-1.142,0.2545,NO
10,LSTM_FULL,RW,0.8945,0.371,0.8608,0.3902,NO
10,LSTM_FULL,SARIMAX,-0.7111,0.477,-0.6843,0.4944,NO
20,RW,SARIMAX,-0.9188,0.3582,-0.8477,0.3974,NO
20,ARIMA,RW,1.3324,0.1827,1.2293,0.2201,NO
20,ARIMA,SARIMAX,1.1998,0.2302,1.1069,0.2694,NO
20,ARIMAX,RW,0.9188,0.3582,0.8477,0.3974,NO
20,ARIMAX,SARIMAX,0.0,1.0,0.0,1.0,NO
20,SARIMAX,RW,0.9188,0.3582,0.8477,0.3974,NO
20,LSTM,RW,1.8855,0.0594,1.7396,0.0832,NO
20,LSTM,SARIMAX,1.0971,0.2726,1.0122,0.3124,NO
20,LSTM_SENT,RW,1.2161,0.2239,1.122,0.2629,NO
20,LSTM_SENT,SARIMAX,0.0909,0.9276,0.0838,0.9333,NO
20,LSTM_FULL,RW,1.8805,0.06,1.735,0.084,NO
20,LSTM_FULL,SARIMAX,0.1802,0.857,0.1663,0.8681,NO
