Horizon,Benchmark,Challenger,DM_HLN,p_HLN,p_Holm,p_BH
1,ARIMA,ARIMAX,-1.921,0.0559,0.838,0.3117
1,LSTM,LSTM_SENT,-0.1628,0.8708,1.0,0.9364
1,LSTM,LSTM_FULL,-1.901,0.0584,0.838,0.3117
1,LSTM_SENT,LSTM_FULL,-3.0604,0.0025,0.0392,0.0392
5,ARIMA,ARIMAX,-1.6124,0.1081,1.0,0.4325
5,LSTM,LSTM_SENT,-0.2802,0.7796,1.0,0.9364
5,LSTM,LSTM_FULL,-0.8517,0.3952,1.0,0.7025
5,LSTM_SENT,LSTM_FULL,-1.0179,0.3097,1.0,0.6819
10,ARIMA,ARIMAX,-1.0377,0.3004,1.0,0.6819
10,LSTM,LSTM_SENT,-0.3003,0.7642,1.0,0.9364
10,LSTM,LSTM_FULL,0.9541,0.341,1.0,0.6819
10,LSTM_SENT,LSTM_FULL,1.0798,0.2813,1.0,0.6819
20,ARIMA,ARIMAX,0.1368,0.8913,1.0,0.9364
20,LSTM,LSTM_SENT,0.1592,0.8736,1.0,0.9364
20,LSTM,LSTM_FULL,0.6484,0.5173,1.0,0.8278
20,LSTM_SENT,LSTM_FULL,0.0798,0.9364,1.0,0.9364
