Horizon,Challenger,Benchmark,DM_Stat,p_value,DM_HLN,p_HLN,Significant,p_Holm,p_BH,Sig_Holm_5pct,Sig_BH_5pct
1,ARIMA,RW,-0.7197,0.4717,-0.7183,0.4732,NO,1.0,0.6732,NO,NO
1,ARIMAX,RW,-2.0979,0.0359,-2.0937,0.0373,YES,0.6859,0.2487,NO,NO
1,LSTM,RW,0.3802,0.7038,0.3794,0.7047,NO,1.0,0.8809,NO,NO
1,LSTM_SENT,RW,0.1639,0.8698,0.1636,0.8702,NO,1.0,0.9393,NO,NO
1,LSTM_FULL,RW,-2.1115,0.0347,-2.1073,0.0361,YES,0.6859,0.2487,NO,NO
5,ARIMA,RW,1.3971,0.1624,1.3721,0.1713,NO,1.0,0.4685,NO,NO
5,ARIMAX,RW,0.0948,0.9244,0.0931,0.9259,NO,1.0,0.9393,NO,NO
5,LSTM,RW,1.1881,0.2348,1.1669,0.2443,NO,1.0,0.4858,NO,NO
5,LSTM_SENT,RW,1.0427,0.2971,1.0241,0.3068,NO,1.0,0.5113,NO,NO
5,LSTM_FULL,RW,-0.1659,0.8683,-0.1629,0.8707,NO,1.0,0.9393,NO,NO
10,ARIMA,RW,1.2041,0.2285,1.1587,0.2477,NO,1.0,0.4858,NO,NO
10,ARIMAX,RW,0.6939,0.4878,0.6677,0.5049,NO,1.0,0.6732,NO,NO
10,LSTM,RW,1.3738,0.1695,1.322,0.1874,NO,1.0,0.4685,NO,NO
10,LSTM_SENT,RW,-0.0792,0.9369,-0.0762,0.9393,NO,1.0,0.9393,NO,NO
10,LSTM_FULL,RW,1.1556,0.2479,1.112,0.2672,NO,1.0,0.4858,NO,NO
20,ARIMA,RW,1.4518,0.1466,1.3395,0.1816,NO,1.0,0.4685,NO,NO
20,ARIMAX,RW,1.8934,0.0583,1.7469,0.0819,NO,1.0,0.4095,NO,NO
20,LSTM,RW,2.4343,0.0149,2.2459,0.0256,YES,0.512,0.2487,NO,NO
20,LSTM_SENT,RW,0.8341,0.4042,0.7696,0.4423,NO,1.0,0.6732,NO,NO
20,LSTM_FULL,RW,1.7047,0.0883,1.5728,0.117,NO,1.0,0.468,NO,NO
