Horizon,Model,Alpha,Beta,R2,p_Alpha,p_Beta1,p_Joint
1,RW,334.8321,0.9834,0.9736,0.0909,0.1126,0.0814
1,ARIMA,326.2375,0.9833,0.9731,0.1078,0.1183,0.2251
1,ARIMAX,400.0893,0.9794,0.9722,0.0523,0.0588,0.1192
1,SARIMAX,400.0893,0.9794,0.9722,0.0523,0.0588,0.1192
1,LSTM,326.123,0.9827,0.9736,0.1037,0.1027,0.2641
1,LSTM_SENT,385.5729,0.9806,0.9737,0.0506,0.0635,0.0572
1,LSTM_FULL,519.7113,0.9728,0.9724,0.0096,0.0105,0.0325
5,RW,1534.7963,0.9246,0.8836,0.0046,0.0086,0.002
5,ARIMA,1529.8639,0.922,0.8839,0.005,0.0067,0.013
5,ARIMAX,1804.665,0.9077,0.8819,0.0011,0.0016,0.0029
5,SARIMAX,1804.665,0.9077,0.8819,0.0011,0.0016,0.0029
5,LSTM,1438.7707,0.9294,0.8848,0.0089,0.0154,0.0048
5,LSTM_SENT,1392.0847,0.9312,0.8823,0.0126,0.0198,0.0104
5,LSTM_FULL,1369.1731,0.9311,0.8769,0.0168,0.0227,0.03
10,RW,2929.1407,0.8559,0.7839,0.0052,0.0099,0.0012
10,ARIMA,2938.9999,0.8501,0.7838,0.0053,0.0072,0.0113
10,ARIMAX,3336.3168,0.8293,0.7855,0.0006,0.0009,0.0016
10,SARIMAX,3336.3168,0.8293,0.7855,0.0006,0.0009,0.0016
10,LSTM,2950.5505,0.8531,0.7832,0.0052,0.009,0.0029
10,LSTM_SENT,3366.1091,0.8201,0.7803,0.0011,0.0008,0.0027
10,LSTM_FULL,2860.3527,0.8542,0.7841,0.0073,0.0099,0.0152
20,RW,3872.6445,0.8153,0.7002,0.0228,0.0421,0.0016
20,ARIMA,3903.2797,0.8036,0.6998,0.0222,0.029,0.0386
20,ARIMAX,4337.3405,0.7808,0.72,0.0034,0.0044,0.0106
20,SARIMAX,4337.3405,0.7808,0.72,0.0034,0.0044,0.0106
20,LSTM,3796.8499,0.8146,0.7044,0.0263,0.041,0.0115
20,LSTM_SENT,4377.8452,0.7753,0.6964,0.0081,0.0094,0.0266
20,LSTM_FULL,3653.8378,0.8199,0.6965,0.0387,0.0549,0.0291
