Horizon,Model,PT_Stat,p_value,HitRate,HitRate_H0
1,ARIMA,-0.4865,0.6867,0.5238,0.5374
1,ARIMAX,0.5415,0.2941,0.5317,0.5152
1,SARIMAX,0.5415,0.2941,0.5317,0.5152
1,LSTM,0.5241,0.3001,0.4921,0.4764
1,LSTM_SENT,0.4035,0.3433,0.4841,0.4723
1,LSTM_FULL,-1.0972,0.8637,0.5357,0.5603
5,ARIMA,,,0.623,0.623
5,ARIMAX,0.8084,0.2094,0.5794,0.5576
5,SARIMAX,0.8084,0.2094,0.5794,0.5576
5,LSTM,0.7085,0.2393,0.5595,0.5391
5,LSTM_SENT,0.9028,0.1833,0.623,0.6113
5,LSTM_FULL,-0.7511,0.7737,0.4365,0.458
10,ARIMA,,,0.6746,0.6746
10,ARIMAX,0.252,0.4005,0.6032,0.597
10,SARIMAX,0.252,0.4005,0.6032,0.597
10,LSTM,,,0.6746,0.6746
10,LSTM_SENT,-0.8137,0.7921,0.6111,0.6275
10,LSTM_FULL,0.0189,0.4925,0.6071,0.6067
20,ARIMA,,,0.7421,0.7421
20,ARIMAX,0.9827,0.1629,0.6587,0.6364
20,SARIMAX,0.9827,0.1629,0.6587,0.6364
20,LSTM,,,0.7421,0.7421
20,LSTM_SENT,-0.4672,0.6798,0.6905,0.6979
20,LSTM_FULL,-0.6185,0.7319,0.6944,0.7036
