model_1,model_2,DM_stat,p_value,n_obs
ARIMA,LSTM_PLAIN_TUNED,-6.587197297750175,4.482059168253727e-11,1060
LSTM_PLAIN_TUNED,SARIMA,6.533713756264215,6.415845632545825e-11,1060
LSTM_Plain,LSTM_PLAIN_TUNED,-5.332057893175661,9.710596771128621e-08,513
LSTM_PLAIN_TUNED,LSTM_VIX,3.9096788099480144,9.241892331002255e-05,513
ARIMA,LSTM_VIX,-3.853490277783104,0.0001164458892852771,513
LSTM_VIX,SARIMA,3.8194122673735778,0.00013377002640524438,513
ARIMA,LSTM_Plain,-3.6611392358699835,0.0002510962460928745,513
LSTM_Plain,SARIMA,3.622311099878584,0.00029198266970320574,513
LSTM_Plain,LSTM_VIX,-0.8543929802194009,0.39288728413098895,513
ARIMA,SARIMA,-0.3377559131728536,0.73554713555479,1060
